Date,Time,NOx(GT),PT08.S1(CO)
2004-03-10,18:00:00,166.0,1360.0
2004-03-10,19:00:00,103.0,1292.25
2004-03-10,20:00:00,131.0,1402.0
2004-03-10,21:00:00,172.0,1375.5
2004-03-10,22:00:00,131.0,1272.25
2004-03-10,23:00:00,89.0,1197.0
2004-03-11,00:00:00,62.0,1185.0
2004-03-11,01:00:00,62.0,1136.25
2004-03-11,02:00:00,45.0,1094.0
2004-03-11,03:00:00,-200.0,1009.75
2004-03-11,04:00:00,21.0,1011.0
2004-03-11,05:00:00,16.0,1066.0
2004-03-11,06:00:00,34.0,1051.75
2004-03-11,07:00:00,98.0,1144.0
2004-03-11,08:00:00,174.0,1333.25
2004-03-11,09:00:00,129.0,1351.0
2004-03-11,10:00:00,112.0,1233.25
2004-03-11,11:00:00,95.0,1178.75
2004-03-11,12:00:00,104.0,1236.0
2004-03-11,13:00:00,146.0,1285.5
2004-03-11,14:00:00,207.0,1371.0
2004-03-11,15:00:00,184.0,1310.0
2004-03-11,16:00:00,193.0,1291.75
2004-03-11,17:00:00,243.0,1383.0
2004-03-11,18:00:00,281.0,1580.75
2004-03-11,19:00:00,383.0,1775.5
2004-03-11,20:00:00,351.0,1640.0
2004-03-11,21:00:00,240.0,1312.75
2004-03-11,22:00:00,94.0,964.5
2004-03-11,23:00:00,47.0,912.75
2004-03-12,00:00:00,122.0,1080.25
2004-03-12,01:00:00,133.0,1043.75
2004-03-12,02:00:00,82.0,987.75
2004-03-12,03:00:00,-200.0,888.75
2004-03-12,04:00:00,21.0,831.0
2004-03-12,05:00:00,30.0,847.25
2004-03-12,06:00:00,56.0,927.0
2004-03-12,07:00:00,109.0,1090.5
2004-03-12,08:00:00,307.0,1587.0
2004-03-12,09:00:00,-200.0,1544.5
2004-03-12,10:00:00,187.0,1350.25
2004-03-12,11:00:00,216.0,1262.75
2004-03-12,12:00:00,143.0,1206.25
2004-03-12,13:00:00,160.0,1251.5
2004-03-12,14:00:00,163.0,1287.0
2004-03-12,15:00:00,190.0,1352.75
2004-03-12,16:00:00,178.0,1309.0
2004-03-12,17:00:00,150.0,1274.0
2004-03-12,18:00:00,206.0,1509.5
2004-03-12,19:00:00,202.0,1525.25
2004-03-12,20:00:00,340.0,1843.0
2004-03-12,21:00:00,274.0,1597.75
2004-03-12,22:00:00,253.0,1483.5
2004-03-12,23:00:00,300.0,1677.25
2004-03-13,00:00:00,193.0,1279.5
2004-03-13,01:00:00,139.0,1196.25
2004-03-13,02:00:00,83.0,1183.75
2004-03-13,03:00:00,-200.0,1171.75
2004-03-13,04:00:00,109.0,1147.0
2004-03-13,05:00:00,62.0,978.25
2004-03-13,06:00:00,53.0,1099.5
2004-03-13,07:00:00,139.0,1112.25
2004-03-13,08:00:00,256.0,1335.5
2004-03-13,09:00:00,295.0,1408.3333333333
2004-03-13,10:00:00,250.0,1447.0
2004-03-13,11:00:00,296.0,1541.5
2004-03-13,12:00:00,239.0,1451.25
2004-03-13,13:00:00,153.0,1328.25
2004-03-13,14:00:00,118.0,1206.5
2004-03-13,15:00:00,119.0,1239.5
2004-03-13,16:00:00,138.0,1306.0
